link,title
http://miptstream.ru/2020/11/24/interactive-physic-experiments/,Оплачиваемая стажировка в области разработки интерактивных экспериментов по физике
http://miptstream.ru/2020/11/24/job-abbyy-2020/,Вакансии в ABBYY
http://miptstream.ru/2020/11/22/biophysics-phd-edinburgh-university/,Аспирантура по теоретической биофизике в Университете Эдинбурга
http://miptstream.ru/2020/11/22/phd-epfl-cs-department/,PhD программа на факультете компьютерных наук института EPFL
http://miptstream.ru/2020/11/08/medical-instrumentation-lab-work/,Работа в лаборатории медицинского приборостроения МФТИ
http://miptstream.ru/2020/11/08/sportmaster-lab-junior-data-scientist-position/,«Sportmaster Lab» ищет Junior Data Scientist
http://miptstream.ru/2020/11/08/digital-ball-event/,Мероприятие «Цифровой бал»
http://miptstream.ru/2020/09/08/interview-phystech-start/,"Интервью с партнерами Клуба менторов о нюансах, пользе и вреде работы с наставником"
http://miptstream.ru/2020/09/07/mentor-club/,Открыт набор для студентов в Клубе менторов Физтех-Союза
http://miptstream.ru/2020/08/26/itogi-otkrytoj-onlajn-vstrechi-rektor/,Итоги открытой онлайн-встречи ректората со студенческим активом
